,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Yellowknife,5,CA,"Jan 07, 2020",66,62.45,-114.38,-32,1.5
1,Saint George,20,GR,"Jan 07, 2020",74,39.45,22.34,34,3.1
2,Shingu,75,JP,"Jan 07, 2020",63,33.72,135.99,61,4.1
3,Avarua,81,CK,"Jan 07, 2020",78,-21.21,-159.78,83,4.6
4,Chokurdakh,20,RU,"Jan 07, 2020",96,70.62,147.9,-26,2.51
5,Atuona,37,PF,"Jan 07, 2020",75,-9.8,-139.03,82,7.17
6,Vaitape,9,PF,"Jan 07, 2020",79,-16.52,-151.75,82,9.24
7,Nikolskoye,90,RU,"Jan 07, 2020",86,59.7,30.79,38,4.0
8,Touros,75,BR,"Jan 07, 2020",88,-5.2,-35.46,79,1.0
9,Salalah,20,OM,"Jan 07, 2020",50,17.01,54.1,75,3.1
10,Qaanaaq,25,GL,"Jan 07, 2020",89,77.48,-69.36,-25,1.79
11,Punta Arenas,40,CL,"Jan 07, 2020",70,-53.16,-70.91,48,4.1
12,Popondetta,100,PG,"Jan 07, 2020",91,-8.77,148.24,74,1.33
13,Bagdarin,0,RU,"Jan 07, 2020",82,54.44,113.59,9,0.3
14,Barrow,0,AR,"Jan 07, 2020",41,-38.31,-60.23,69,5.45
15,Victoria,75,BN,"Jan 07, 2020",70,5.28,115.24,88,4.1
16,Chase,1,US,"Jan 07, 2020",55,38.35,-98.35,38,2.1
17,Vallenar,0,CL,"Jan 07, 2020",89,-28.58,-70.76,55,0.24
18,Erdenet,0,MN,"Jan 07, 2020",82,49.03,104.04,2,1.17
19,Rikitea,0,PF,"Jan 07, 2020",80,-23.12,-134.97,77,8.53
20,Chapais,90,CA,"Jan 07, 2020",92,49.78,-74.86,16,2.6
21,Albany,90,US,"Jan 07, 2020",89,42.65,-73.75,33,0.66
22,Namatanai,35,PG,"Jan 07, 2020",75,-3.66,152.44,85,5.56
23,Kaitangata,93,NZ,"Jan 07, 2020",72,-46.28,169.85,58,3.13
24,Benton Harbor,75,US,"Jan 07, 2020",47,42.12,-86.45,35,5.7
25,Port Alfred,100,ZA,"Jan 07, 2020",98,-33.59,26.89,69,4.13
26,Geraldton,75,CA,"Jan 07, 2020",76,49.72,-86.95,-4,3.1
27,Muros,75,ES,"Jan 07, 2020",100,42.77,-9.06,56,2.1
28,Laguna,90,BZ,"Jan 07, 2020",100,16.17,-88.94,70,0.57
29,Tasiilaq,40,GL,"Jan 07, 2020",49,65.61,-37.64,-1,7.48
30,Provideniya,0,RU,"Jan 07, 2020",89,64.42,-173.23,-11,0.47
31,Oksfjord,75,NO,"Jan 07, 2020",74,70.24,22.35,38,14.9
32,Clyde River,90,CA,"Jan 07, 2020",62,70.47,-68.59,-15,1.5
33,Honningsvag,75,NO,"Jan 07, 2020",74,70.98,25.97,38,10.3
34,Lebu,43,ET,"Jan 07, 2020",68,8.96,38.73,59,2.06
35,Port Blair,81,IN,"Jan 07, 2020",77,11.67,92.75,81,5.07
36,Dikson,95,RU,"Jan 07, 2020",99,73.51,80.55,-8,3.52
37,New Norfolk,20,AU,"Jan 07, 2020",43,-42.78,147.06,76,9.3
38,Cayenne,75,GF,"Jan 07, 2020",88,4.94,-52.33,79,2.6
39,Yurimaguas,62,PE,"Jan 07, 2020",80,-5.9,-76.1,74,0.28
40,Tura,0,RU,"Jan 07, 2020",92,64.27,100.22,-3,2.4
41,Mar del Plata,0,AR,"Jan 07, 2020",42,-46.43,-67.52,54,14.34
42,Berlevag,100,NO,"Jan 07, 2020",74,70.86,29.09,36,11.8
43,La Ligua,0,CL,"Jan 07, 2020",100,-32.45,-71.23,57,3.1
44,Moyamba,0,SL,"Jan 07, 2020",95,8.16,-12.43,69,1.25
45,Cherskiy,55,RU,"Jan 07, 2020",73,68.75,161.3,-17,3.91
46,Cape Town,75,ZA,"Jan 07, 2020",100,-33.93,18.42,66,1.0
47,Ushuaia,90,AR,"Jan 07, 2020",93,-54.81,-68.31,47,3.1
48,Busselton,5,AU,"Jan 07, 2020",20,-33.64,115.35,85,9.28
49,Saskylakh,88,RU,"Jan 07, 2020",95,71.97,114.09,-3,3.67
50,East London,20,ZA,"Jan 07, 2020",100,-33.02,27.91,70,1.5
51,Jinchang,56,CN,"Jan 07, 2020",49,38.52,102.19,23,1.86
52,Sao Filipe,100,CV,"Jan 07, 2020",74,14.9,-24.5,67,9.43
53,Ipixuna,40,BR,"Jan 07, 2020",94,-1.76,-48.8,77,1.0
54,Esmeraldas,40,BR,"Jan 07, 2020",94,-19.76,-44.31,72,1.5
55,Moen,75,BE,"Jan 07, 2020",87,50.77,3.4,54,7.7
56,Baragua,18,CU,"Jan 07, 2020",88,21.7,-78.63,67,3.86
57,Butaritari,100,KI,"Jan 07, 2020",80,3.07,172.79,85,8.74
58,Labuhan,85,ID,"Jan 07, 2020",55,-2.54,115.51,91,1.19
59,Bredasdorp,0,ZA,"Jan 07, 2020",93,-34.53,20.04,66,1.5
60,Evensk,100,RU,"Jan 07, 2020",76,61.92,159.24,0,2.94
61,Ponta do Sol,100,BR,"Jan 07, 2020",90,-20.63,-46.0,70,1.28
62,Mongoumba,17,CD,"Jan 07, 2020",40,3.64,18.59,73,1.47
63,Pineville,1,US,"Jan 07, 2020",80,31.32,-92.43,39,0.71
64,Hilo,75,US,"Jan 07, 2020",69,19.71,-155.08,75,4.1
65,Nemuro,75,JP,"Jan 07, 2020",79,43.32,145.57,27,2.1
66,Hovd,75,NO,"Jan 07, 2020",87,63.83,10.7,45,7.2
67,Kodiak,1,US,"Jan 07, 2020",81,39.95,-94.76,36,2.71
68,Qasigiannguit,41,GL,"Jan 07, 2020",53,68.82,-51.19,-2,5.7
69,Neuquen,2,AR,"Jan 07, 2020",35,-38.95,-68.06,72,2.6
70,Arlit,91,NE,"Jan 07, 2020",17,18.74,7.39,62,5.81
71,Kiruna,100,SE,"Jan 07, 2020",93,67.86,20.23,32,8.2
72,Gat,41,SN,"Jan 07, 2020",42,14.69,-16.54,65,6.2
73,Kapaa,75,US,"Jan 07, 2020",64,22.08,-159.32,79,9.3
74,Mahebourg,75,MU,"Jan 07, 2020",88,-20.41,57.7,81,2.61
75,Upernavik,99,GL,"Jan 07, 2020",71,72.79,-56.15,-14,2.47
76,Jamestown,0,AU,"Jan 07, 2020",17,-33.21,138.6,92,1.69
77,Melenki,90,RU,"Jan 07, 2020",85,55.94,42.98,23,4.0
78,Bambous Virieux,75,MU,"Jan 07, 2020",88,-20.34,57.76,81,2.17
79,Klaksvik,100,FO,"Jan 07, 2020",59,62.23,-6.59,38,14.9
80,Faya,75,SA,"Jan 07, 2020",93,18.39,42.45,57,6.2
81,Lhokseumawe,59,ID,"Jan 07, 2020",58,5.18,97.15,84,2.52
82,Hobart,20,AU,"Jan 07, 2020",43,-42.88,147.33,76,9.3
83,Caravelas,56,BR,"Jan 07, 2020",95,-17.73,-39.27,73,3.68
84,Kavieng,100,PG,"Jan 07, 2020",75,-2.57,150.8,83,4.36
85,Noumea,20,NC,"Jan 07, 2020",48,-22.28,166.46,88,7.2
86,Guozhen,85,CN,"Jan 07, 2020",68,29.3,113.14,45,5.88
87,Maragogi,2,BR,"Jan 07, 2020",76,-9.01,-35.22,80,3.81
88,Hermanus,9,ZA,"Jan 07, 2020",95,-34.42,19.24,66,3.57
89,Puerto Ayora,32,EC,"Jan 07, 2020",81,-0.74,-90.35,76,1.34
90,Kahului,40,US,"Jan 07, 2020",73,20.89,-156.47,74,7.2
91,Vaini,40,IN,"Jan 07, 2020",78,15.34,74.49,74,1.5
92,Mataura,94,NZ,"Jan 07, 2020",68,-46.19,168.86,60,3.13
93,Khatanga,100,RU,"Jan 07, 2020",95,71.98,102.47,4,4.87
94,Kudahuvadhoo,100,MV,"Jan 07, 2020",76,2.67,72.89,83,4.38
95,Vestmannaeyjar,100,IS,"Jan 07, 2020",68,63.44,-20.27,32,24.12
96,Beringovskiy,100,RU,"Jan 07, 2020",99,63.05,179.32,-2,3.04
97,Zhicheng,78,CN,"Jan 07, 2020",74,35.04,112.59,41,2.88
98,Shar,100,NG,"Jan 07, 2020",34,7.3,8.73,72,1.31
99,Puri,74,ID,"Jan 07, 2020",71,-7.54,112.45,86,1.98
100,Aklavik,5,CA,"Jan 07, 2020",65,68.22,-135.01,-38,2.1
101,Tuktoyaktuk,90,CA,"Jan 07, 2020",73,69.44,-133.03,-31,6.7
102,Yulara,100,AU,"Jan 07, 2020",16,-25.24,130.99,101,5.1
103,Kimbe,72,PG,"Jan 07, 2020",85,-5.56,150.15,83,1.43
104,Jardim,100,BR,"Jan 07, 2020",97,-21.48,-56.15,74,1.77
105,Thompson,20,CA,"Jan 07, 2020",75,55.74,-97.86,-16,3.1
106,Florianopolis,75,BR,"Jan 07, 2020",88,-27.6,-48.55,76,2.6
107,Lavrentiya,0,RU,"Jan 07, 2020",93,65.58,-170.99,-11,1.37
108,Srednekolymsk,74,RU,"Jan 07, 2020",95,67.46,153.71,-25,2.52
109,Kieta,38,PG,"Jan 07, 2020",67,-6.22,155.63,86,3.64
110,Namikupa,95,MZ,"Jan 07, 2020",78,-10.84,39.63,82,1.55
111,Tiksi,100,RU,"Jan 07, 2020",90,71.64,128.87,-10,2.15
112,Fortuna,90,US,"Jan 07, 2020",100,40.6,-124.16,48,2.6
113,Ribeira Grande,73,PT,"Jan 07, 2020",93,38.52,-28.7,62,7.8
114,Walvis Bay,0,NA,"Jan 07, 2020",82,-22.95,14.51,64,2.1
115,Isangel,75,VU,"Jan 07, 2020",55,-19.55,169.27,86,4.1
116,Hofn,63,IS,"Jan 07, 2020",58,64.25,-15.21,34,25.09
117,Poya,14,NC,"Jan 07, 2020",81,-21.35,165.16,76,7.78
118,Ishigaki,75,JP,"Jan 07, 2020",77,24.34,124.16,70,8.7
119,Pisco,90,PE,"Jan 07, 2020",88,-13.71,-76.2,72,5.1
120,Iqaluit,90,CA,"Jan 07, 2020",61,63.75,-68.52,-18,1.5
121,Lufilufi,40,WS,"Jan 07, 2020",59,-13.87,-171.6,92,6.2
122,Yueyang,85,CN,"Jan 07, 2020",68,29.36,113.12,45,5.88
123,Cabo San Lucas,5,MX,"Jan 07, 2020",77,22.89,-109.91,68,1.5
124,Mantua,90,IT,"Jan 07, 2020",100,45.16,10.79,38,2.1
125,Salinopolis,43,BR,"Jan 07, 2020",79,-0.61,-47.36,82,5.91
126,Bluff,16,AU,"Jan 07, 2020",19,-23.58,149.07,95,5.64
127,Balsas,97,BR,"Jan 07, 2020",93,-7.53,-46.04,73,0.8
128,Changji,66,CN,"Jan 07, 2020",63,32.07,116.17,42,2.14
129,Faanui,9,PF,"Jan 07, 2020",79,-16.48,-151.75,82,9.24
130,Hami,0,CN,"Jan 07, 2020",51,42.84,93.51,23,1.57
131,Mehamn,99,NO,"Jan 07, 2020",74,71.03,27.85,38,11.8
132,Canutama,100,BR,"Jan 07, 2020",97,-6.53,-64.38,75,0.99
133,Valadares,75,BR,"Jan 07, 2020",94,-25.53,-48.5,70,2.1
134,Coihueco,4,CL,"Jan 07, 2020",82,-36.63,-71.83,57,2.1
135,San Patricio,0,PY,"Jan 07, 2020",36,-26.98,-56.83,69,2.2
136,Qaqortoq,83,GL,"Jan 07, 2020",78,60.72,-46.03,12,0.5
137,Ancud,75,CL,"Jan 07, 2020",93,-41.87,-73.83,48,2.6
138,Nanortalik,96,GL,"Jan 07, 2020",72,60.14,-45.24,25,8.69
139,Emmett,100,US,"Jan 07, 2020",86,43.87,-116.5,41,0.73
140,Waupun,75,US,"Jan 07, 2020",58,43.63,-88.73,27,5.7
141,Chateaubelair,20,VC,"Jan 07, 2020",74,13.28,-61.25,81,8.2
142,Sibolga,36,ID,"Jan 07, 2020",50,1.74,98.78,91,1.44
143,Portree,70,GB,"Jan 07, 2020",76,57.41,-6.19,42,5.81
144,Soyo,99,AO,"Jan 07, 2020",86,-6.13,12.37,79,1.93
145,Hithadhoo,97,MV,"Jan 07, 2020",72,-0.6,73.08,84,5.8
146,Kimamba,40,TZ,"Jan 07, 2020",100,-6.79,37.14,74,3.1
147,Sao Joao da Barra,37,BR,"Jan 07, 2020",93,-21.64,-41.05,77,4.77
148,Saint-Philippe,90,CA,"Jan 07, 2020",73,45.36,-73.48,30,1.5
149,Tuatapere,95,NZ,"Jan 07, 2020",68,-46.13,167.69,60,3.13
150,Llanes,100,ES,"Jan 07, 2020",10,43.42,-4.75,49,2.17
151,Beloha,0,MG,"Jan 07, 2020",52,-25.17,45.06,87,2.4
152,Lagoa,6,PT,"Jan 07, 2020",70,37.14,-8.45,55,1.0
153,Bubaque,84,GW,"Jan 07, 2020",39,11.28,-15.83,74,9.07
154,Chicama,20,PE,"Jan 07, 2020",83,-7.84,-79.15,70,3.1
155,Saint-Augustin,90,CA,"Jan 07, 2020",79,45.63,-73.98,28,1.5
156,Sinazongwe,100,ZM,"Jan 07, 2020",82,-17.26,27.46,77,2.89
157,Severnoye,84,RU,"Jan 07, 2020",96,54.09,52.54,10,0.25
158,Samur,71,AZ,"Jan 07, 2020",69,41.64,48.43,41,1.12
159,San Carlos de Bariloche,57,AR,"Jan 07, 2020",91,-41.13,-71.31,45,8.52
160,Warrnambool,82,AU,"Jan 07, 2020",34,-38.38,142.48,78,9.96
161,Nabire,100,ID,"Jan 07, 2020",82,-3.36,135.5,80,1.16
162,San Pedro,0,AR,"Jan 07, 2020",61,-33.68,-59.66,68,0.89
163,Nguruka,97,TZ,"Jan 07, 2020",91,-5.11,31.04,70,1.07
164,Kargasok,92,RU,"Jan 07, 2020",95,59.06,80.87,2,2.19
165,Brae,100,GB,"Jan 07, 2020",80,60.4,-1.35,45,15.9
166,Varna,0,BG,"Jan 07, 2020",79,43.22,27.9,25,3.6
167,Vao,100,EE,"Jan 07, 2020",84,59.1,26.19,39,7.04
168,Constitucion,5,MX,"Jan 07, 2020",37,23.99,-104.67,50,2.1
169,High Rock,37,BS,"Jan 07, 2020",60,26.63,-78.28,72,6.91
170,Puksoozero,100,RU,"Jan 07, 2020",99,62.59,40.61,35,4.57
171,Kharp,0,RU,"Jan 07, 2020",88,66.82,65.8,0,3.91
172,Menongue,100,AO,"Jan 07, 2020",94,-14.66,17.68,64,2.24
173,Minjur,40,IN,"Jan 07, 2020",65,13.28,80.26,83,5.1
174,Pili,100,PH,"Jan 07, 2020",75,13.56,123.27,80,3.95
175,Sayaxche,95,GT,"Jan 07, 2020",99,16.52,-90.17,67,1.45
176,Pevek,0,RU,"Jan 07, 2020",86,69.7,170.27,-14,5.97
177,Chuy,0,UY,"Jan 07, 2020",66,-33.69,-53.46,66,4.13
178,Kaohsiung,40,TW,"Jan 07, 2020",54,22.62,120.31,81,3.6
179,Carnarvon,58,ZA,"Jan 07, 2020",74,-30.97,22.13,68,7.19
180,Valday,100,RU,"Jan 07, 2020",94,57.98,33.25,35,3.85
181,Stephenville,90,CA,"Jan 07, 2020",92,48.55,-58.59,27,4.6
182,Puerto Carreno,0,CO,"Jan 07, 2020",78,6.19,-67.49,79,2.6
183,Grakhovo,75,RU,"Jan 07, 2020",92,56.05,51.96,18,1.79
184,Anadyr,75,RU,"Jan 07, 2020",76,64.73,177.51,-9,3.0
185,Westport,90,US,"Jan 07, 2020",77,41.14,-73.36,36,2.6
186,Glendive,90,US,"Jan 07, 2020",62,47.11,-104.71,23,3.6
187,Tessalit,2,ML,"Jan 07, 2020",21,20.2,1.01,56,7.41
188,Matagami,61,NG,"Jan 07, 2020",33,9.67,8.4,68,2.54
189,Tual,100,ID,"Jan 07, 2020",77,-5.67,132.75,83,5.22
190,Poum,0,MK,"Jan 07, 2020",38,41.28,20.71,26,2.1
191,Guanica,0,PR,"Jan 07, 2020",70,17.97,-66.91,74,2.65
192,Shakhtinsk,75,KZ,"Jan 07, 2020",84,49.71,72.59,9,2.0
193,Saint-Pierre,90,FR,"Jan 07, 2020",100,48.95,4.24,50,5.1
194,Les Cayes,0,HT,"Jan 07, 2020",75,18.19,-73.75,79,3.5
195,Norman Wells,5,CA,"Jan 07, 2020",71,65.28,-126.83,-47,1.5
196,Karratha,100,AU,"Jan 07, 2020",76,-20.74,116.85,86,8.94
197,Salinas,90,US,"Jan 07, 2020",81,36.67,-121.66,54,4.6
198,Jaisalmer,0,IN,"Jan 07, 2020",41,26.91,70.91,62,3.45
199,Newport,90,GB,"Jan 07, 2020",93,51.59,-3.0,52,7.2
200,Matamoros,1,US,"Jan 07, 2020",81,25.87,-97.51,60,2.63
201,Atasu,98,KZ,"Jan 07, 2020",94,48.68,71.64,11,2.1
202,Airai,79,TL,"Jan 07, 2020",68,-8.93,125.41,80,1.55
203,Padang,94,ID,"Jan 07, 2020",52,-0.92,100.36,87,1.3
204,Pathein,36,MM,"Jan 07, 2020",42,16.78,94.73,88,1.78
205,Kalmar,100,SE,"Jan 07, 2020",81,56.66,16.36,45,7.7
206,Salme,75,NP,"Jan 07, 2020",100,28.04,85.09,48,1.5
207,Cidreira,0,BR,"Jan 07, 2020",70,-30.17,-50.22,74,3.41
208,Arman,100,RU,"Jan 07, 2020",84,59.7,150.17,13,3.44
209,Seoul,90,KR,"Jan 07, 2020",80,37.57,126.98,41,3.66
210,Cap Malheureux,75,MU,"Jan 07, 2020",88,-19.98,57.61,81,1.08
211,Lompoc,75,US,"Jan 07, 2020",93,34.64,-120.46,54,1.5
212,Georgetown,40,GY,"Jan 07, 2020",94,6.8,-58.16,75,2.1
213,Khovu-Aksy,63,RU,"Jan 07, 2020",68,51.13,93.72,6,0.69
214,Eyrarbakki,90,IS,"Jan 07, 2020",86,63.86,-21.15,29,19.0
215,Saint-Georges,100,CA,"Jan 07, 2020",89,46.12,-70.67,16,0.45
216,Port Augusta,0,AU,"Jan 07, 2020",21,-32.49,137.76,98,4.6
217,Saint Anthony,1,US,"Jan 07, 2020",92,43.97,-111.68,27,1.5
218,Young,0,UY,"Jan 07, 2020",73,-32.7,-57.63,70,2.35
219,Salisbury,97,GB,"Jan 07, 2020",100,51.07,-1.8,54,5.1
220,Okhotsk,99,RU,"Jan 07, 2020",72,59.36,143.24,-1,4.81
221,Kathmandu,75,NP,"Jan 07, 2020",100,27.71,85.32,48,1.5
222,Nagato,75,JP,"Jan 07, 2020",62,34.35,131.14,56,14.9
223,Nealtican,21,MX,"Jan 07, 2020",43,19.05,-98.42,47,3.63
224,Rawson,49,AR,"Jan 07, 2020",54,-43.3,-65.11,63,5.48
225,Ulaanbaatar,8,MN,"Jan 07, 2020",77,47.92,106.92,-2,1.0
226,Harare,75,ZW,"Jan 07, 2020",88,-17.83,31.05,68,3.6
227,Port Elizabeth,75,US,"Jan 07, 2020",93,39.31,-74.98,37,5.7
228,Taksimo,8,RU,"Jan 07, 2020",94,56.36,114.84,-3,0.96
229,Nuuk,100,GL,"Jan 07, 2020",84,64.17,-51.74,2,8.7
230,Fairbanks,20,US,"Jan 07, 2020",65,64.84,-147.72,-24,0.19
231,Zemio,0,CF,"Jan 07, 2020",32,5.02,25.13,75,2.44
232,Severnyy-Kospashskiy,100,RU,"Jan 07, 2020",86,59.09,57.8,14,1.46
233,Katherine,75,AU,"Jan 07, 2020",44,-14.47,132.26,95,3.1
234,Apatou,34,SR,"Jan 07, 2020",98,5.16,-54.34,73,0.65
235,Leningradskiy,11,RU,"Jan 07, 2020",82,69.38,178.42,-16,3.83
236,Vanavara,38,RU,"Jan 07, 2020",95,60.35,102.28,5,1.75
237,Buin,0,CL,"Jan 07, 2020",55,-33.73,-70.74,65,3.6
238,San Quintin,0,PH,"Jan 07, 2020",62,17.54,120.52,83,3.4
239,Palmer,0,AU,"Jan 07, 2020",17,-34.85,139.16,98,4.33
240,Dyersburg,1,US,"Jan 07, 2020",56,36.03,-89.39,43,2.1
241,Esperance,0,AU,"Jan 07, 2020",50,-33.86,121.89,79,6.7
242,Zharkent,100,KZ,"Jan 07, 2020",71,44.17,80.0,21,0.9
243,Gewane,33,ET,"Jan 07, 2020",49,10.16,40.66,79,3.71
244,Viseu de Jos,20,RO,"Jan 07, 2020",100,47.73,24.37,9,0.44
245,Wajir,75,KE,"Jan 07, 2020",88,1.75,40.07,74,5.78
246,Polunochnoye,100,RU,"Jan 07, 2020",87,60.87,60.43,14,2.47
247,Talcahuano,96,CL,"Jan 07, 2020",93,-36.72,-73.12,57,3.6
248,Floro,75,NO,"Jan 07, 2020",70,61.6,5.03,43,11.3
249,Edson,90,CA,"Jan 07, 2020",92,53.59,-116.44,9,5.1
250,Gravdal,99,NO,"Jan 07, 2020",75,59.79,5.78,47,11.8
251,Darhan,0,MN,"Jan 07, 2020",84,49.49,105.92,3,1.12
252,Kampot,20,KH,"Jan 07, 2020",58,10.62,104.18,88,4.6
253,Najran,0,SA,"Jan 07, 2020",76,17.54,44.22,56,4.18
254,Chibombo,100,ZM,"Jan 07, 2020",88,-14.68,28.09,70,1.91
255,Kropotkin,100,RU,"Jan 07, 2020",81,45.43,40.58,35,3.62
256,Gdynia,20,PL,"Jan 07, 2020",86,54.52,18.54,40,6.2
257,Souillac,90,FR,"Jan 07, 2020",93,45.6,-0.6,52,2.1
258,Flin Flon,0,CA,"Jan 07, 2020",96,54.77,-101.88,-22,1.14
259,Mikhaylovka,99,RU,"Jan 07, 2020",92,52.96,103.29,7,1.05
260,Sorland,75,NO,"Jan 07, 2020",100,67.67,12.69,43,10.3
261,Broome,100,GB,"Jan 07, 2020",82,52.47,1.45,56,7.2
262,Torbay,90,CA,"Jan 07, 2020",79,47.66,-52.73,25,6.7
263,Ahipara,73,NZ,"Jan 07, 2020",72,-35.17,173.16,61,7.44
264,Arraial do Cabo,70,BR,"Jan 07, 2020",94,-22.97,-42.02,77,1.5
265,Mitsamiouli,20,KM,"Jan 07, 2020",70,-11.38,43.28,84,1.5
266,Mogadishu,40,SO,"Jan 07, 2020",74,2.04,45.34,79,4.1
267,Trincomalee,61,LK,"Jan 07, 2020",59,8.58,81.23,84,3.09
268,Boly,0,HU,"Jan 07, 2020",92,45.97,18.52,32,2.1
269,Ahuimanu,75,US,"Jan 07, 2020",69,21.44,-157.84,75,8.2
270,Richards Bay,68,ZA,"Jan 07, 2020",75,-28.77,32.06,79,7.57
271,Bereda,90,ES,"Jan 07, 2020",100,43.27,-7.54,57,3.6
