,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
272,Barranca,0,PE,"Jan 07, 2020",91,-10.75,-77.76,71,5.05
273,Cooma,40,AU,"Jan 07, 2020",44,-36.24,149.13,77,6.7
274,Sambava,72,MG,"Jan 07, 2020",59,-14.27,50.17,88,0.64
275,Mount Isa,40,AU,"Jan 07, 2020",24,-20.73,139.49,102,3.6
276,Saint-Paul,100,FR,"Jan 07, 2020",100,45.22,1.9,44,1.0
277,Whitehorse,90,CA,"Jan 07, 2020",76,60.72,-135.06,-9,2.1
278,Bodden Town,43,KY,"Jan 07, 2020",72,19.28,-81.25,77,6.71
279,Honiara,40,SB,"Jan 07, 2020",63,-9.43,159.96,92,3.6
280,Guerrero Negro,100,MX,"Jan 07, 2020",49,27.97,-114.04,62,2.53
281,Straumen,75,NO,"Jan 07, 2020",87,63.87,11.3,45,7.2
282,Axim,70,GH,"Jan 07, 2020",87,4.87,-2.24,73,0.76
283,Longyearbyen,20,NO,"Jan 07, 2020",92,78.22,15.63,32,15.9
284,Dothan,1,US,"Jan 07, 2020",72,31.22,-85.39,48,3.1
285,Baker City,1,US,"Jan 07, 2020",69,44.77,-117.83,41,3.6
286,Katsuura,20,JP,"Jan 07, 2020",44,33.93,134.5,61,15.9
287,Wilmington,75,US,"Jan 07, 2020",88,39.75,-75.55,34,4.1
288,Klaeng,98,TH,"Jan 07, 2020",51,12.78,101.65,94,2.04
289,Cap-aux-Meules,20,CA,"Jan 07, 2020",68,47.38,-61.86,25,4.1
290,Linfen,89,CN,"Jan 07, 2020",58,36.09,111.52,40,2.56
291,Nouadhibou,56,MR,"Jan 07, 2020",37,20.93,-17.03,60,9.68
292,Ponta Delgada,20,PT,"Jan 07, 2020",88,37.73,-25.67,65,5.7
293,Markala,5,ML,"Jan 07, 2020",22,13.69,-6.07,62,4.1
294,Shieli,85,KZ,"Jan 07, 2020",69,44.18,66.74,30,3.68
295,Puerto Baquerizo Moreno,48,EC,"Jan 07, 2020",85,-0.9,-89.6,78,4.85
296,Castro,75,CL,"Jan 07, 2020",93,-42.48,-73.76,48,2.6
297,Mnogovershinnyy,11,RU,"Jan 07, 2020",88,53.94,139.92,5,2.82
298,Narsaq,100,GL,"Jan 07, 2020",78,60.91,-46.05,12,0.5
299,Jangaon,99,IN,"Jan 07, 2020",71,17.72,79.16,76,4.51
300,Palmas,20,BR,"Jan 07, 2020",100,-10.18,-48.33,75,1.5
301,Grindavik,90,IS,"Jan 07, 2020",86,63.84,-22.43,29,23.7
302,Ostrovnoy,100,RU,"Jan 07, 2020",89,68.05,39.51,33,11.52
303,Troitskoye,100,RU,"Jan 07, 2020",87,52.98,84.68,13,1.7
304,Zambezi,95,ZM,"Jan 07, 2020",89,-13.55,23.12,68,2.2
305,Xingyi,1,CN,"Jan 07, 2020",51,24.19,102.82,67,5.31
306,Xichang,87,CN,"Jan 07, 2020",36,27.88,102.25,67,5.81
307,Nyimba,100,ZM,"Jan 07, 2020",92,-14.56,30.81,70,2.01
308,Dunedin,87,NZ,"Jan 07, 2020",69,-45.87,170.5,55,4.92
309,Maxixe,20,MZ,"Jan 07, 2020",83,-23.86,35.35,83,3.1
310,Imeni Poliny Osipenko,33,RU,"Jan 07, 2020",93,52.42,136.49,0,1.3
311,Usinsk,96,RU,"Jan 07, 2020",95,66.0,57.56,4,6.41
312,Akom,13,CM,"Jan 07, 2020",58,2.67,12.71,67,1.05
313,Ambilobe,93,MG,"Jan 07, 2020",71,-13.19,49.05,86,1.06
314,Keti Bandar,0,PK,"Jan 07, 2020",56,24.14,67.45,69,2.37
315,Sal Rei,75,CV,"Jan 07, 2020",59,16.18,-22.92,66,7.2
316,Smithers,90,CA,"Jan 07, 2020",85,54.78,-127.17,16,1.0
317,Sribne,29,UA,"Jan 07, 2020",90,50.66,32.92,25,1.42
318,Coquimbo,20,CL,"Jan 07, 2020",93,-29.95,-71.34,61,3.1
319,Kiama,45,AU,"Jan 07, 2020",50,-34.67,150.86,82,7.2
320,Kavaratti,40,IN,"Jan 07, 2020",74,10.57,72.64,84,3.1
321,Emerald,40,AU,"Jan 07, 2020",30,-23.53,148.16,95,5.7
322,Payson,1,US,"Jan 07, 2020",86,40.04,-111.73,41,3.77
323,Saint-Francois,90,FR,"Jan 07, 2020",93,46.42,3.91,45,2.6
324,Vila Franca do Campo,20,PT,"Jan 07, 2020",88,37.72,-25.43,65,5.7
325,Los Llanos de Aridane,75,ES,"Jan 07, 2020",63,28.66,-17.92,65,5.1
326,Lanzhou,41,CN,"Jan 07, 2020",68,36.06,103.82,41,1.0
327,Palencia,90,ES,"Jan 07, 2020",92,42.01,-4.53,27,1.0
328,Portland,40,US,"Jan 07, 2020",68,43.66,-70.25,32,1.5
329,Laagri,90,EE,"Jan 07, 2020",93,59.35,24.61,41,9.3
330,San Cristobal,60,HN,"Jan 07, 2020",97,14.68,-86.92,62,1.69
331,Pontes e Lacerda,100,BR,"Jan 07, 2020",98,-15.23,-59.33,72,1.49
332,Komsomolskiy,98,RU,"Jan 07, 2020",98,67.55,63.78,-1,3.12
333,Viedma,16,AR,"Jan 07, 2020",34,-40.81,-62.99,69,3.46
334,Deniliquin,75,AU,"Jan 07, 2020",11,-35.53,144.96,98,5.51
335,Fergus Falls,1,US,"Jan 07, 2020",83,46.28,-96.08,-4,2.1
336,Nguru,36,NG,"Jan 07, 2020",19,12.88,10.45,62,4.25
337,Coihaique,58,CL,"Jan 07, 2020",81,-45.58,-72.07,45,2.1
338,Half Moon Bay,90,US,"Jan 07, 2020",87,37.46,-122.43,54,2.6
339,Batagay,20,RU,"Jan 07, 2020",88,67.65,134.64,-20,0.82
340,Dzhebariki-Khaya,96,RU,"Jan 07, 2020",99,62.22,135.8,-5,0.71
341,Santa Luzia,40,BR,"Jan 07, 2020",94,-19.77,-43.85,72,1.5
342,Constantine,75,DZ,"Jan 07, 2020",100,36.36,6.61,36,2.26
343,Martapura,20,ID,"Jan 07, 2020",83,-3.41,114.85,84,2.1
344,Bandundu,100,CD,"Jan 07, 2020",90,-3.32,17.38,75,1.74
345,Porto Novo,75,BR,"Jan 07, 2020",88,-23.68,-45.44,74,1.0
346,Avanigadda,87,IN,"Jan 07, 2020",83,16.02,80.92,75,1.5
347,Xining,65,CN,"Jan 07, 2020",40,36.62,101.77,29,1.53
348,Ronne,100,FR,"Jan 07, 2020",100,48.45,0.83,52,6.2
349,Ilulissat,41,GL,"Jan 07, 2020",53,69.22,-51.1,-2,5.7
350,Praia da Vitoria,40,PT,"Jan 07, 2020",82,38.73,-27.07,65,10.96
351,Moerai,11,PF,"Jan 07, 2020",81,-22.43,-151.33,80,7.17
352,Banda Aceh,60,ID,"Jan 07, 2020",50,5.56,95.32,88,4.45
353,Prince Rupert,1,CA,"Jan 07, 2020",86,54.32,-130.32,27,2.1
354,Sabang,81,PH,"Jan 07, 2020",80,13.8,121.11,83,0.89
355,Sitka,0,US,"Jan 07, 2020",49,37.17,-99.65,37,1.34
356,Oranjemund,98,ZA,"Jan 07, 2020",69,-28.55,16.43,67,0.87
357,Juba,100,EE,"Jan 07, 2020",93,57.82,26.93,36,7.2
358,Bakchar,98,RU,"Jan 07, 2020",94,57.02,82.07,15,0.41
359,Dzaoudzi,57,YT,"Jan 07, 2020",88,-12.79,45.27,83,1.5
360,Suntar,100,RU,"Jan 07, 2020",92,62.16,117.65,15,3.2
361,Rio Claro,100,BR,"Jan 07, 2020",80,-22.41,-47.56,74,2.68
362,Port Lincoln,0,AU,"Jan 07, 2020",32,-34.72,135.86,82,4.82
363,Haines Junction,99,CA,"Jan 07, 2020",98,60.75,-137.51,-14,2.0
364,Uruacu,97,BR,"Jan 07, 2020",98,-14.52,-49.14,70,0.17
365,Conde,0,BR,"Jan 07, 2020",79,-11.81,-37.61,79,5.5
366,Hounde,0,BF,"Jan 07, 2020",29,11.5,-3.52,67,1.77
367,Kerman,0,IR,"Jan 07, 2020",73,30.29,57.06,27,1.0
368,Lunca Banului,0,MD,"Jan 07, 2020",92,46.6,28.17,19,2.1
369,Bertrix,100,BE,"Jan 07, 2020",100,49.85,5.25,47,5.1
370,Bud,100,NO,"Jan 07, 2020",70,62.91,6.91,47,14.4
371,Itoman,75,JP,"Jan 07, 2020",68,26.12,127.67,66,12.9
372,Gore,95,ET,"Jan 07, 2020",71,8.15,35.53,67,1.33
373,Bambanglipuro,33,ID,"Jan 07, 2020",69,-7.95,110.28,85,4.4
374,Taoudenni,13,ML,"Jan 07, 2020",29,22.68,-3.98,48,2.35
375,Auki,77,NG,"Jan 07, 2020",17,12.18,6.51,67,7.31
376,Kruisfontein,75,ZA,"Jan 07, 2020",73,-34.0,24.73,74,4.35
377,Road Town,1,VG,"Jan 07, 2020",78,18.42,-64.62,79,4.1
378,Bayang,93,PH,"Jan 07, 2020",60,7.79,124.2,81,2.46
379,Severo-Kurilsk,74,RU,"Jan 07, 2020",88,50.68,156.12,21,6.91
380,Tayoltita,0,MX,"Jan 07, 2020",46,24.11,-105.93,55,3.66
381,Hailar,65,CN,"Jan 07, 2020",97,49.2,119.7,-1,3.35
382,Mayo,90,CA,"Jan 07, 2020",69,63.59,-135.9,-13,5.1
383,Jaroslaw,90,PL,"Jan 07, 2020",74,50.02,22.68,34,3.6
384,Fort Nelson,90,CA,"Jan 07, 2020",68,58.81,-122.69,-20,1.0
385,Caluquembe,100,AO,"Jan 07, 2020",93,-13.78,14.68,63,2.49
386,Strezhevoy,80,RU,"Jan 07, 2020",83,60.73,77.6,-4,2.0
387,Gigmoto,75,PH,"Jan 07, 2020",80,13.78,124.39,81,6.72
388,Berezanka,0,UA,"Jan 07, 2020",79,46.86,31.39,23,5.0
389,Botro,3,CI,"Jan 07, 2020",40,7.85,-5.31,74,2.1
390,Santa Maria,40,BR,"Jan 07, 2020",94,-16.02,-48.01,72,1.5
391,Kupang,90,ID,"Jan 07, 2020",79,-10.16,123.6,84,5.1
392,Mildura,0,AU,"Jan 07, 2020",8,-34.18,142.16,95,4.6
393,Kalmunai,88,LK,"Jan 07, 2020",76,7.42,81.82,81,7.7
394,Vardo,90,US,"Jan 07, 2020",92,39.62,-77.74,30,3.1
395,Lokosovo,100,RU,"Jan 07, 2020",93,61.13,74.84,5,2.81
396,Hambantota,40,LK,"Jan 07, 2020",94,6.12,81.12,81,4.1
397,Wanaka,98,NZ,"Jan 07, 2020",79,-44.7,169.14,50,1.82
398,Eirunepe,83,BR,"Jan 07, 2020",81,-6.66,-69.87,73,1.3
399,Plouzane,90,FR,"Jan 07, 2020",100,48.38,-4.62,54,5.1
400,Ulladulla,57,AU,"Jan 07, 2020",50,-35.36,150.48,77,7.2
401,Windhoek,80,NA,"Jan 07, 2020",67,-22.57,17.08,65,1.0
402,Chippewa Falls,1,US,"Jan 07, 2020",65,44.94,-91.39,14,6.2
403,Merauke,100,ID,"Jan 07, 2020",77,-8.49,140.4,86,1.82
404,Inuvik,5,CA,"Jan 07, 2020",65,68.36,-133.71,-38,2.1
405,Keflavik,90,IS,"Jan 07, 2020",86,64.0,-22.56,29,23.7
406,Cheremshan,60,RU,"Jan 07, 2020",96,54.66,51.51,8,0.59
407,Gizo,75,IL,"Jan 07, 2020",62,31.8,34.94,52,8.7
408,Hamilton,40,CA,"Jan 07, 2020",86,43.26,-79.87,36,5.7
409,Carutapera,49,BR,"Jan 07, 2020",79,-1.2,-46.02,81,4.82
410,Bountiful,1,US,"Jan 07, 2020",60,40.89,-111.88,42,7.2
411,Bethel,1,US,"Jan 07, 2020",75,60.79,-161.76,-16,8.2
412,Quatre Cocos,75,MU,"Jan 07, 2020",88,-20.21,57.76,81,1.32
413,Deori Khas,10,IN,"Jan 07, 2020",58,23.39,79.03,75,3.97
414,Hay River,90,CA,"Jan 07, 2020",75,60.82,-115.79,-15,1.0
415,Adrar,0,DZ,"Jan 07, 2020",52,27.87,-0.29,43,5.7
416,Kilifi,20,KE,"Jan 07, 2020",94,-3.63,39.85,79,2.1
417,Carauari,99,BR,"Jan 07, 2020",96,-4.88,-66.9,74,0.19
418,Potiskum,79,NG,"Jan 07, 2020",27,11.71,11.08,63,5.03
419,Warwick,90,US,"Jan 07, 2020",100,41.7,-71.42,36,3.1
420,Tautira,40,PF,"Jan 07, 2020",74,-17.73,-149.15,84,2.6
421,Tilichiki,100,RU,"Jan 07, 2020",86,60.47,166.1,6,4.4
422,Mount Pleasant,1,US,"Jan 07, 2020",64,33.16,-94.97,43,2.69
423,Kuzovatovo,1,RU,"Jan 07, 2020",95,53.54,47.69,13,0.95
424,Tynda,0,RU,"Jan 07, 2020",90,55.15,124.74,-1,0.94
425,Absam,20,AT,"Jan 07, 2020",92,47.3,11.51,28,1.0
426,Petropavlovsk-Kamchatskiy,100,RU,"Jan 07, 2020",49,53.05,158.65,23,5.91
427,Reoti,85,IN,"Jan 07, 2020",44,25.85,84.38,70,3.65
428,Soe,100,EE,"Jan 07, 2020",93,57.91,26.05,36,7.2
429,Kvarkeno,67,RU,"Jan 07, 2020",95,52.08,59.73,9,2.23
430,Namibe,100,AO,"Jan 07, 2020",79,-15.19,12.15,74,0.77
431,Jiujiang,21,CN,"Jan 07, 2020",65,29.73,115.99,46,4.21
432,Danville,75,US,"Jan 07, 2020",76,37.82,-122.0,54,3.1
433,Burewala,0,PK,"Jan 07, 2020",63,30.16,72.68,58,2.68
434,Safonovo,100,RU,"Jan 07, 2020",91,55.11,33.24,31,3.85
435,Siuna,5,NI,"Jan 07, 2020",94,13.73,-84.78,67,1.93
436,Gamba,0,CN,"Jan 07, 2020",40,28.28,88.52,18,3.65
437,Kolobrzeg,100,PL,"Jan 07, 2020",10,54.18,15.58,37,8.47
438,Coruripe,0,BR,"Jan 07, 2020",80,-10.12,-36.18,78,3.93
439,Saint Augustine,40,TT,"Jan 07, 2020",88,10.65,-61.4,78,2.6
440,Waddan,0,LY,"Jan 07, 2020",71,29.16,16.14,42,1.85
441,Lisakovsk,93,KZ,"Jan 07, 2020",95,52.55,62.49,8,2.41
442,Bulgan,0,MN,"Jan 07, 2020",80,48.81,103.53,5,1.46
443,San Vicente,75,EC,"Jan 07, 2020",88,-0.59,-80.41,77,3.6
444,Biak,100,ID,"Jan 07, 2020",72,-0.91,122.88,85,9.58
445,Saint-Joseph,0,FR,"Jan 07, 2020",93,43.56,6.97,49,2.6
446,Mount Gambier,73,AU,"Jan 07, 2020",28,-37.83,140.78,86,6.7
447,Byron Bay,0,AU,"Jan 07, 2020",58,-28.65,153.62,95,8.2
448,Mecca,54,SA,"Jan 07, 2020",45,21.43,39.83,66,1.54
449,Alamos,69,AR,"Jan 07, 2020",36,-36.9,-62.36,74,4.68
450,Port Moresby,40,PG,"Jan 07, 2020",62,-9.47,147.16,90,6.2
451,Giyani,80,ZA,"Jan 07, 2020",74,-23.32,30.73,75,2.64
452,Lata,100,IN,"Jan 07, 2020",99,30.78,78.62,17,6.71
453,Tabou,28,CI,"Jan 07, 2020",95,4.42,-7.36,72,0.49
454,Shubarkuduk,99,KZ,"Jan 07, 2020",93,49.15,56.49,15,2.68
455,Monte Patria,0,CL,"Jan 07, 2020",90,-30.69,-70.96,51,0.33
456,Sorong,100,ID,"Jan 07, 2020",94,-0.86,131.25,80,1.34
457,Buchanan,20,LR,"Jan 07, 2020",94,5.88,-10.05,74,1.67
458,Zaraza,18,VE,"Jan 07, 2020",94,9.35,-65.33,71,2.38
459,Bo Rai,20,TH,"Jan 07, 2020",70,12.57,102.54,90,2.1
460,Sola,81,TZ,"Jan 07, 2020",72,-3.17,33.8,71,3.6
461,Zhigansk,100,RU,"Jan 07, 2020",97,66.77,123.37,-6,3.19
462,Buala,100,SB,"Jan 07, 2020",71,-8.15,159.59,86,3.4
463,Pemberton,69,AU,"Jan 07, 2020",40,-34.44,116.03,83,0.89
464,Eureka,90,US,"Jan 07, 2020",87,40.8,-124.16,48,4.6
465,Wadi Maliz,40,TN,"Jan 07, 2020",76,36.47,8.55,54,4.1
466,Okha,99,RU,"Jan 07, 2020",91,53.59,142.95,8,7.05
467,Codrington,0,AU,"Jan 07, 2020",43,-28.95,153.24,95,7.2
468,Sawakin,100,SD,"Jan 07, 2020",73,19.1,37.33,73,6.4
469,Abha,75,SA,"Jan 07, 2020",93,18.22,42.5,57,6.2
470,Dedza,100,MW,"Jan 07, 2020",88,-14.38,34.33,70,1.12
471,Mandalgovi,61,MN,"Jan 07, 2020",89,45.76,106.27,9,3.4
472,Miraflores,40,PE,"Jan 07, 2020",87,-16.39,-71.52,52,1.5
473,Bilibino,0,RU,"Jan 07, 2020",91,68.06,166.44,-28,1.33
474,Balod,18,IN,"Jan 07, 2020",43,20.73,81.21,82,2.64
475,Cochrane,100,CL,"Jan 07, 2020",99,-47.25,-72.57,33,3.07
476,Kalaleh,0,IR,"Jan 07, 2020",37,37.38,55.49,39,2.51
477,College,20,US,"Jan 07, 2020",65,64.86,-147.8,-24,0.78
478,Bonavista,89,CA,"Jan 07, 2020",85,48.65,-53.11,25,4.72
479,Fare,4,PF,"Jan 07, 2020",79,-16.7,-151.02,82,9.03
480,Natal,75,BR,"Jan 07, 2020",88,-5.81,-35.21,81,1.0
481,Dekar,100,BW,"Jan 07, 2020",83,-21.53,21.93,71,1.97
482,George,91,MW,"Jan 07, 2020",77,-15.35,34.83,79,1.14
483,Kirakira,100,SB,"Jan 07, 2020",82,-10.46,161.92,82,5.14
484,Husavik,12,CA,"Jan 07, 2020",82,50.56,-96.99,-6,2.68
485,Russell,1,US,"Jan 07, 2020",69,38.9,-98.86,38,4.1
486,Tutoia,59,BR,"Jan 07, 2020",93,-2.76,-42.27,74,0.74
487,Igrim,93,RU,"Jan 07, 2020",94,63.19,64.42,7,2.95
488,Vittorio Veneto,0,IT,"Jan 07, 2020",100,45.99,12.3,38,1.5
489,Vila,0,IT,"Jan 07, 2020",100,45.18,8.4,38,0.5
490,Kulhudhuffushi,8,MV,"Jan 07, 2020",75,6.62,73.07,82,4.68
491,Genhe,1,CN,"Jan 07, 2020",82,50.78,121.52,7,1.42
492,Luena,100,AO,"Jan 07, 2020",97,-11.78,19.91,63,1.81
493,Zhuhai,4,CN,"Jan 07, 2020",61,40.71,112.04,16,1.0
494,Boromo,0,BF,"Jan 07, 2020",32,11.74,-2.93,68,1.84
495,Cumbum,73,IN,"Jan 07, 2020",68,15.58,79.11,76,2.91
496,Sangar,72,RU,"Jan 07, 2020",97,63.92,127.47,-10,1.55
497,Nyakahanga,84,CD,"Jan 07, 2020",71,-1.0,29.54,71,0.61
498,Sawtell,0,AU,"Jan 07, 2020",61,-30.38,153.1,95,10.3
499,Pavlivka,97,UA,"Jan 07, 2020",90,48.13,39.54,27,7.25
500,Navirai,90,BR,"Jan 07, 2020",98,-23.07,-54.19,71,0.72
501,Pahrump,1,US,"Jan 07, 2020",55,36.21,-115.98,47,2.48
502,Gornji Milanovac,0,RS,"Jan 07, 2020",100,44.02,20.46,20,1.0
503,Port Hardy,75,CA,"Jan 07, 2020",89,50.7,-127.42,36,3.1
504,Dingle,100,PH,"Jan 07, 2020",69,11.0,122.67,84,4.84
505,Verkhnetulomskiy,100,RU,"Jan 07, 2020",86,68.61,31.8,34,4.0
506,Monrovia,20,LR,"Jan 07, 2020",94,6.33,-10.8,74,2.22
507,Salta,90,AR,"Jan 07, 2020",82,-24.79,-65.41,72,0.6
508,Port-Gentil,74,GA,"Jan 07, 2020",81,-0.72,8.78,82,3.08
509,Dzerzhinskoye,100,RU,"Jan 07, 2020",92,56.84,95.22,13,1.73
510,Islamkot,0,PK,"Jan 07, 2020",46,24.7,70.18,68,5.02
511,Gumdag,0,TM,"Jan 07, 2020",55,39.2,54.59,41,7.79
512,Flinders,45,AU,"Jan 07, 2020",50,-34.58,150.85,82,7.2
513,Paramonga,19,PE,"Jan 07, 2020",91,-10.68,-77.82,69,4.05
514,Boyuibe,96,BO,"Jan 07, 2020",92,-20.43,-63.28,68,0.5
515,Hasaki,75,JP,"Jan 07, 2020",100,35.73,140.83,46,5.1
516,Baykit,80,RU,"Jan 07, 2020",96,61.68,96.39,1,0.54
517,Karlshamn,100,SE,"Jan 07, 2020",100,56.17,14.86,43,5.7
518,Hobyo,100,SO,"Jan 07, 2020",63,5.35,48.53,82,8.29
519,Dogondoutchi,82,NE,"Jan 07, 2020",20,13.64,4.03,66,4.53
520,Marawi,56,PH,"Jan 07, 2020",72,8.0,124.29,84,3.13
521,Sur,24,OM,"Jan 07, 2020",61,22.57,59.53,71,5.53
522,Praia,40,BR,"Jan 07, 2020",88,-20.25,-43.81,70,1.21
523,Las Vegas,1,US,"Jan 07, 2020",52,36.17,-115.15,50,0.46
524,Gaya,75,IN,"Jan 07, 2020",82,24.8,85.01,57,2.1
525,Ocos,20,GT,"Jan 07, 2020",94,14.51,-92.19,74,1.56
526,Hammerfest,40,NO,"Jan 07, 2020",74,70.66,23.68,36,22.6
527,Manokwari,100,ID,"Jan 07, 2020",92,-0.87,134.08,75,2.17
528,Qandala,100,SO,"Jan 07, 2020",64,11.47,49.87,77,2.59
529,Wagar,0,US,"Jan 07, 2020",80,31.44,-87.99,46,1.79
530,Sobolevo,100,RU,"Jan 07, 2020",94,54.43,31.9,30,4.41
531,Puerto Escondido,0,MX,"Jan 07, 2020",49,15.86,-97.07,69,3.49
532,Kholm,5,AF,"Jan 07, 2020",86,36.69,67.7,34,1.0
533,Rocha,0,UY,"Jan 07, 2020",57,-34.48,-54.34,60,4.4
534,Virginia Beach,1,US,"Jan 07, 2020",100,36.85,-75.98,39,3.1
535,Nicolet,90,CA,"Jan 07, 2020",85,46.23,-72.62,23,2.1
536,Henties Bay,0,NA,"Jan 07, 2020",92,-22.12,14.28,64,0.45
537,Iquitos,0,PE,"Jan 07, 2020",94,-3.75,-73.25,74,0.5
538,Goderich,100,CA,"Jan 07, 2020",68,43.74,-81.71,35,1.34
539,Irati,100,BR,"Jan 07, 2020",99,-25.47,-50.65,64,0.89
540,Gejiu,1,CN,"Jan 07, 2020",64,23.36,103.16,63,5.47
541,Thinadhoo,94,MV,"Jan 07, 2020",76,0.53,72.93,83,4.82
542,Pestovo,90,RU,"Jan 07, 2020",94,55.36,37.98,32,2.0
543,Batabano,40,CU,"Jan 07, 2020",100,22.72,-82.29,66,2.1
544,Thongwa,40,MM,"Jan 07, 2020",54,16.76,96.52,83,2.1
